"Id","organizationname","departmentname","jobname"
75,Haliburton Highlands Health System,EMERGENCY,S-RPN HALIBURTON ER
76,Haliburton Highlands Health System,EMERGENCY,S-RPN MINDEN ER
77,Haliburton Highlands Health System,EMERGENCY,WW REGISTERED NURSE MINDEN ER
78,Haliburton Highlands Health System,INFECTION CONTROL,OHN/ICP
79,Haliburton Highlands Health System,PHYSIOTHERAPY,S-PALTC01
80,Haliburton Highlands Health System,PHYSIOTHERAPY,PHYSIOTHERAPIST
81,Haliburton Highlands Health System,PHYSIOTHERAPY,PHYSIOTHERAPY AIDE
82,Haliburton Highlands Health System,PHYSIOTHERAPY,S-PHYLTC01
83,Haliburton Highlands Health System,CSS IH - HOSPICE SERVICES,PALLIATIVE LIAISON COORDINATOR
84,Haliburton Highlands Health System,NURSING,BSO ACUTE CARE
85,Haliburton Highlands Health System,NURSING,CAREGIVER SUPPORT AIDE ACUTE CARE
86,Haliburton Highlands Health System,NURSING,DIRECTOR PATIENT CARE & CNO
87,Haliburton Highlands Health System,NURSING,MANAGER ACUTE CARE & EMERGENCY
88,Haliburton Highlands Health System,NURSING,REGISTERED NURSE ACUTE CARE
89,Haliburton Highlands Health System,NURSING,RPN ACUTE CARE
90,Haliburton Highlands Health System,NURSING,WW REGISTERED NURSE ACUTE CARE
91,Haliburton Highlands Health System,RESEARCH ADMIN,PROFESSIONAL PRACTICE LEAD & EDUCATOR
92,Haliburton Highlands Health System,FINANCE - GENERAL,ACCOUNTING CLERK H
93,Haliburton Highlands Health System,FINANCE - GENERAL,ADMIN CLERK H
94,Haliburton Highlands Health System,FINANCE - GENERAL,CHIEF FINANCIAL OFFICER
95,Haliburton Highlands Health System,FINANCE - GENERAL,MANAGER FINANCE
96,Haliburton Highlands Health System,HEALTH INFORMATION,HRT
97,Haliburton Highlands Health System,HEALTH INFORMATION,MANAGER HEALTH REC & PRIVACY
98,Haliburton Highlands Health System,MENTAL HEALTH PROGRAM,MHS COORDINATOR
99,Haliburton Highlands Health System,MENTAL HEALTH PROGRAM,MHS COUNSELLOR/CASE MGR
100,Haliburton Highlands Health System,MENTAL HEALTH PROGRAM,S-RPN MENTAL HEALTH
101,Haliburton Highlands Health System,MENTAL HEALTH PROGRAM,VAN DRIVER MENTAL HEALTH SRV
102,Haliburton Highlands Health System,CCS - GAINS,NURSE PRACTITIONER GAIN
103,Haliburton Highlands Health System,CCS - GAINS,ADMIN CLERK GAIN
104,Haliburton Highlands Health System,ADMINISTRATION,ADMIN CLERK MH
105,Haliburton Highlands Health System,DIAGNOSTIC ULTRASOUND,REG TECH SONOGRAPHER
106,Lakeridge Health Corporation,PALLIATIVE/SUPPORTIVE CARE,REGISTERED NURSE
107,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM SSA,SERVICE ASSOCIATE
108,Lakeridge Health Corporation,ACUTE MEDICINE CLINIC,REGISTERED NURSE
109,Lakeridge Health Corporation,"AMBULATORY CARE UNIT, LHAP",REGISTERED NURSE
110,Lakeridge Health Corporation,"AMBULATORY CARE UNIT, LHAP",REGISTERED PRACTICAL NURSE
111,Lakeridge Health Corporation,AMBULATORY DAY/NIGHT,REGISTERED NURSE
112,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - OSHAWA,DIALYSIS AIDE
113,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - OSHAWA,REGISTERED NURSE
114,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - WHITBY,DIALYSIS AIDE
115,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - WHITBY,REGISTERED NURSE
116,Lakeridge Health Corporation,AMBULATORY HEMO IN CENTRE - WHITBY,REGISTERED PRACTICAL NURSE
117,Lakeridge Health Corporation,AMBULATORY REHAB CENTRE,PHYSIOTHERAPIST
118,Lakeridge Health Corporation,AMBULATORY REHAB CENTRE,REHAB ASSISTANT
119,Lakeridge Health Corporation,ARC HAND THERAPY CLINIC,OCCUPATIONAL THERAPIST
120,Lakeridge Health Corporation,ARC NEURO LHO,OCCUPATIONAL THERAPIST
121,Lakeridge Health Corporation,ARC OCCUPATIONAL THERAPY - BOWMANVILLE,OCCUPATIONAL THERAPIST
122,Lakeridge Health Corporation,ARC OCCUPATIONAL THERAPY - PORT PERRY,OCCUPATIONAL THERAPIST
123,Lakeridge Health Corporation,ARC PHYSIOTHERAPY - BOWMANVILLE,CHARGE PHYSIOTHERAPIST
124,Lakeridge Health Corporation,ARC PHYSIOTHERAPY - BOWMANVILLE,PHYSIOTHERAPIST
125,Lakeridge Health Corporation,ARC PHYSIOTHERAPY - PORT PERRY,PHYSIOTHERAPIST
126,Lakeridge Health Corporation,ARC RESPIRATORY REHAB CLINIC - WHITBY,PHYSIOTHERAPIST
127,Lakeridge Health Corporation,CCDC - DIABETES,DIETITIAN
128,Lakeridge Health Corporation,CCDC - DIABETES,REGISTERED NURSE
129,Lakeridge Health Corporation,COVID 19 LHAP,REGISTERED PRACTICAL NURSE
130,Lakeridge Health Corporation,DIABETES EDUCATION PROGRAM,DIETITIAN
131,Lakeridge Health Corporation,DIABETES EDUCATION PROGRAM,REGISTERED NURSE
132,Lakeridge Health Corporation,EYE CENTRE,REGISTERED PRACTICAL NURSE
133,Lakeridge Health Corporation,GENETICS CLINICAL,GENETICS COUNSELLOR
134,Lakeridge Health Corporation,GENETICS CLINICAL,SENIOR GENETICS COUNSELLOR
135,Lakeridge Health Corporation,GERIATRIC ASSESSMENT & INTERVENTION,REGISTERED PRACTICAL NURSE
136,Lakeridge Health Corporation,HEPATITIS CLINIC,REGISTERED NURSE
137,Lakeridge Health Corporation,HOME HEMODIALYSIS,REGISTERED NURSE
138,Lakeridge Health Corporation,MULTI-CARE KIDNEY CLINIC,REGISTERED NURSE
139,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,ABILITIES CASE MANAGEMENT ASSOCIATE
140,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,ABILITIES CASE MANAGEMENT SPECIALIST
141,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,HEALTHY WORKPLACE ASSISTANT
142,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,OCCUPATIONAL HEALTH NURSE
143,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,OHS ASSISTANT
144,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,OHS DATA AND INFORMATION ANALYST
145,Lakeridge Health Corporation,OCCUPATIONAL HEALTH,OHSW PROGRAM ASSOCIATE
146,Lakeridge Health Corporation,O-IN PATIENT PERITONEAL DIALYSIS,REGISTERED NURSE
147,Lakeridge Health Corporation,ORTHOPEADIC CLINIC,ORTHOPAEDIC TECHNOLOGIST
148,Lakeridge Health Corporation,PERSONAL SUPPORT WORKER,PERSONAL SUPPORT WORKER
149,Lakeridge Health Corporation,PERSONAL SUPPORT WORKER,RPN TEAM LEAD
150,Lakeridge Health Corporation,"PHYSIO - O/P, LHAP",OT/PT ASSISTANT
151,Lakeridge Health Corporation,"PHYSIO - O/P, LHAP",PHYSIOTHERAPIST
152,Lakeridge Health Corporation,POSITIVE CARE CLINIC,REGISTERED NURSE
153,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SOCIAL WORKER,SOCIAL WORKER
154,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM ADMIN,REGISTERED NURSE
155,Lakeridge Health Corporation,REGIONAL NEPHROLOGY SYSTEM DIETITIAN,DIETITIAN
156,Lakeridge Health Corporation,SEXUAL ASSAULT CLINIC,REGISTERED NURSE
157,Lakeridge Health Corporation,STROKE PREVENTION CLINIC,REGISTERED NURSE
158,Lakeridge Health Corporation,VACCINE CLINIC,REGISTERED NURSE
159,Lakeridge Health Corporation,VACCINE CLINIC,REGISTERED PRACTICAL NURSE
160,Lakeridge Health Corporation,OBS LABOUR & DELIVERY,ANESTHESIA ASSISTANT
161,Lakeridge Health Corporation,OPERATING ROOM - ADM,ANESTHESIA ASSISTANT
162,Lakeridge Health Corporation,"OR MAIN, LHAP",ANESTHESIA ASSISTANT
163,Lakeridge Health Corporation,EMERG/CC  FLOAT POOL,REGISTERED NURSE
164,Lakeridge Health Corporation,CRP PATIENT CARE SPEC/EDUCATION,"CLINICAL PRACTICE LEADER, EMERGENCY"
165,Lakeridge Health Corporation,CRP PATIENT CARE SPEC/EDUCATION,"CLINICAL PRACTICE LEADER, EMERGENCY LHO"
166,Lakeridge Health Corporation,CRP PATIENT CARE SPEC/EDUCATION,"CLINICAL PRACTICE LEADER, EMERGENCY LHO/LHPP"
167,Lakeridge Health Corporation,CRP PATIENT CARE SPEC/EDUCATION,"CPL, EMERGENCY & CRITICAL CARE, LHAP"
168,Lakeridge Health Corporation,"ED OVER FLOW, LHO",MEDIC
169,Lakeridge Health Corporation,EMERG. PAY FOR RESULT,DECISION SUPPORT ANALYST ER
170,Lakeridge Health Corporation,EMERG. PAY FOR RESULT,PHYSICIAN ASSISTANT
171,Lakeridge Health Corporation,"EMERGENCY - GEM (AHS), LHAP",CNS - PRIMARY CARE
172,Lakeridge Health Corporation,"EMERGENCY, LHAP","PCM, EMERGENCY, LHAP"
173,Lakeridge Health Corporation,"EMERGENCY, LHAP",REGISTERED NURSE
174,Lakeridge Health Corporation,"EMERGENCY, LHAP",REGISTERED PRACTICAL NURSE
175,Lakeridge Health Corporation,"EMERGENCY, LHAP","SR. PROJECT LEAD, ED LHAP"
176,Lakeridge Health Corporation,"EMERGENCY, LHAP",UNIT CLERK
177,Lakeridge Health Corporation,"EMERGENCY, LHAP",UNIT COORDINATOR
178,Lakeridge Health Corporation,GEM CONSULTATION,CLINICAL NURSE SPECIALIST
179,Lakeridge Health Corporation,GEM CONSULTATION,CNS - PRIMARY CARE
180,Lakeridge Health Corporation,GENERAL EMERGENCY - BOWMANVILLE,REGISTERED NURSE
181,Lakeridge Health Corporation,GENERAL EMERGENCY - BOWMANVILLE,UNIT CLERK
182,Lakeridge Health Corporation,GENERAL EMERGENCY - BOWMANVILLE,UNIT COORDINATOR
183,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,MATERIALS HANDLER
184,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,"PATIENT CARE MANAGER, EMERGENCY LHO"
185,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,PERSONAL SUPPORT WORKER
186,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,REGISTERED NURSE
187,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,REGISTERED PRACTICAL NURSE
188,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,"SUPERVISOR, EMERGENCY"
189,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,UNIT CLERK
190,Lakeridge Health Corporation,GENERAL EMERGENCY - OSHAWA,UNIT COORDINATOR
191,Lakeridge Health Corporation,GENERAL EMERGENCY - PORT PERRY,"PATIENT CARE, MANAGER EMERG LHB & CRCU"
192,Lakeridge Health Corporation,GENERAL EMERGENCY - PORT PERRY,REGISTERED NURSE
193,Lakeridge Health Corporation,GENERAL EMERGENCY - PORT PERRY,UNIT CLERK
194,Lakeridge Health Corporation,GENERAL EMERGENCY - PORT PERRY,UNIT COORDINATOR
195,Lakeridge Health Corporation,PGM MGT: ED/CCU,ADMINISTRATIVE ASSISTANT II
196,Lakeridge Health Corporation,PGM MGT: ED/CCU,CLINICAL QUALITY IMPROVEMENT LEAD - ED
197,Lakeridge Health Corporation,PGM MGT: ED/CCU,"DIRECTOR, EMERGENCY, CRCU & CEPCP"
198,Lakeridge Health Corporation,DRCC  AMBULATORY PROGRAM MGMT,"CLINICAL PRACTICE LEADER, DRCC"
199,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,REGISTERED NURSE
200,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,REGISTERED PRACTICAL NURSE
201,Lakeridge Health Corporation,DRCC OR/PARR PRE/POST,REGISTERED NURSE
202,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,"CLINICAL SPECIALIST, RADIATION THERAPY"
203,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,DRCC DOSIMETRIST
204,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,DRCC RADIATION THERAPIST
205,Lakeridge Health Corporation,DRCC RADIATION-PRE & POST,REGISTERED NURSE
206,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,"DIRECTOR, CE REG.CANCER PROGRAM"
207,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,REGISTERED NURSE
208,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,REGISTERED PRACTICAL NURSE
209,Lakeridge Health Corporation,DRCC SYSTEMIC THERAPY SUITE,OPERATIONS COORDINATOR (NUP)
210,Lakeridge Health Corporation,DRCC SYSTEMIC THERAPY SUITE,"PATIENT CARE MANAGER, CHEMO"
211,Lakeridge Health Corporation,DRCC SYSTEMIC THERAPY SUITE,REGISTERED NURSE
212,Lakeridge Health Corporation,LH RESEARCH,REGISTERED NURSE
213,Lakeridge Health Corporation,ONCOLOGY/NEPHROLOGY,"PATIENT CARE MANAGER , ONCOLOGY/NEPHROLOG"
214,Lakeridge Health Corporation,ONCOLOGY/NEPHROLOGY,REGISTERED PRACTICAL NURSE - PENDING REG
215,Lakeridge Health Corporation,ONCOLOGY/NEPHROLOGY,UNIT COORDINATOR
216,Lakeridge Health Corporation,DRCC  AMBULATORY PROGRAM MGMT,ADMINISTRATIVE ASSISTANT II
217,Lakeridge Health Corporation,DRCC  AMBULATORY PROGRAM MGMT,"DIRECTOR, DURHAM REGIONAL CANCER CENTRE"
218,Lakeridge Health Corporation,DRCC CENTRAL EAST SCREENING,ICS LEAD
219,Lakeridge Health Corporation,DRCC CENTRAL EAST SCREENING,ICS LEAD - ASSESSMENT & QUALITY
220,Lakeridge Health Corporation,DRCC CENTRAL EAST SCREENING,ICS LEAD - SCREENING & PROMOTION
221,Lakeridge Health Corporation,DRCC CENTRAL EAST SCREENING,"MANAGER, CLINICAL GENETICS & CE REGIONAL CANCER SCREENING"
222,Lakeridge Health Corporation,DRCC CENTRAL EAST SCREENING,"MANAGER, REGIONAL CANCER SCREENING"
223,Lakeridge Health Corporation,DRCC CENTRAL EAST SCREENING,RADIOLOGY TECHNOLOGIST
224,Lakeridge Health Corporation,DRCC CLINICAL NUTRITION,DIETITIAN
225,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,ADMINISTRATIVE ASSISTANT I
226,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,CLINICAL RESEARCH ASSISTANT
227,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,"DIRECTOR, RESEARCH"
228,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,ETHICS & REGULATORY ASSOCIATE
229,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,MANAGER RESEARCH
230,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,RESEARCH ASSOCIATE
231,Lakeridge Health Corporation,DRCC CLINICAL TRIALS,RESEARCH START-UP SPECIALIST
232,Lakeridge Health Corporation,DRCC EDUCATION,CLINICAL EDUCATION LEADER
233,Lakeridge Health Corporation,DRCC INFORMATION SYSTEMS,I.T. CONSULTANT
234,Lakeridge Health Corporation,DRCC INFORMATION SYSTEMS,"MANAGER, CLINICAL SYSTEMS DRCC & IT"
235,Lakeridge Health Corporation,DRCC IT MARKETED SERVICES,IT CONSULTANT
236,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,ADMINISTRATIVE ASSISTANT II
237,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,CO-OP STUDENT
238,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,I.T. CONSULTANT
239,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,"MANAGER, MEDICAL PHYSICS"
240,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,MEDICAL PHYSICS SERVICE ENGINEER
241,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,PHYSICIST
242,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,PHYSICIST ASSOCIATE
243,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,PHYSICIST ASSOCIATE II
244,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,PHYSICIST ASSOCIATE III
245,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,PHYSICS RESIDENT PHD
246,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,SENIOR MEDICAL PHYSICS SERVICE ENGINEER
247,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,SENIOR PHYSICIST
248,Lakeridge Health Corporation,DRCC MEDICAL PHYSICS,SR. SYSTEMS CONSULTANT
249,Lakeridge Health Corporation,DRCC MEDICAL STAFF,ADMINISTRATIVE ASSISTANT II
250,Lakeridge Health Corporation,DRCC OBSP (MOH),REGISTERED NURSE
251,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,"CLINICAL FACILITATOR,  RADIATION THERAPY"
252,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,"MANAGER, RADIATION THERAPY"
253,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,SUPERVISOR RADIATION THERAPY
254,Lakeridge Health Corporation,DRCC RADIATION TREATMENT,UNIT CLERK
255,Lakeridge Health Corporation,DRCC RADIATION-PRE & POST,UNIT CLERK
256,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,ADMINISTRATIVE ASSISTANT II
257,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,DECISION SUPPORT ANALYST
258,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,I.T. CONSULTANT
259,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,INDIGENOUS NAVIGATOR
260,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,INDIGENOUS OUTREACH LIAISON
261,Lakeridge Health Corporation,DRCC REGIONAL PROGRAM,PATIENT EXPERIENCE LEAD
262,Lakeridge Health Corporation,DRCC SOCIAL WORK,SOCIAL WORKER
263,Lakeridge Health Corporation,DRCC SURG. ASSESSMENT,OPERATIONS COORDINATOR (NUP)
264,Lakeridge Health Corporation,DRCC SURG. ASSESSMENT,"PCM, DIAGNOSTIC ASSESSMENT PROGRAM"
265,Lakeridge Health Corporation,DRCC SURG. ASSESSMENT,REGISTERED NURSE
266,Lakeridge Health Corporation,DRCC SURG. ASSESSMENT,UNIT CLERK
267,Lakeridge Health Corporation,DRCC SURGICAL PRE/POST,UNIT CLERK
268,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,"CLINICAL PRACTICE LEADER, DRCC SYS & RAD"
269,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,OPERATIONS COORDINATOR DRCC (NUP)
270,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,"PCM, DRCC AMBULATORY CLINICS"
271,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,STAFFING CLERK
272,Lakeridge Health Corporation,DRCC SYSTEMIC PRE&POST,UNIT CLERK
273,Lakeridge Health Corporation,DRCC SYSTEMIC THERAPY SUITE,"CLINICAL PRACTICE LEADER, DRCC"
274,Lakeridge Health Corporation,DRCC SYSTEMIC THERAPY SUITE,UNIT CLERK
275,Lakeridge Health Corporation,DRCC,SECRETARY
276,Lakeridge Health Corporation,DURHAM REGION CANCER CTRE-GEN. ADMIN,ADMINISTRATIVE ASSISTANT II
277,Lakeridge Health Corporation,HIGH RISK LUNG CANCER SCREEN,REGISTERED NURSE
278,Lakeridge Health Corporation,LH RESEARCH,RESEARCH ASSOCIATE
279,Lakeridge Health Corporation,CIS PROJECT,LABORATORY TECHNOLOGIST
280,Lakeridge Health Corporation,CYTOGENETICS - GENERAL,CHARGE LABORATORY TECHNOLOGIST
281,Lakeridge Health Corporation,CYTOGENETICS - GENERAL,LABORATORY TECHNOLOGIST
282,Lakeridge Health Corporation,E.C.G. - PORT PERRY,LABORATORY ASSISTANT
283,Lakeridge Health Corporation,"E.C.G., LHAP",E.C.G. TECHNICIAN
284,Lakeridge Health Corporation,ECG - BOWMANVILLE,LABORATORY ASSISTANT
285,Lakeridge Health Corporation,ELECTROCARDIOGRAPHY E.C.G,LABORATORY ASSISTANT
286,Lakeridge Health Corporation,GENETICS CLINICAL,"MEDICAL TRANSCRIPTIONIST, NON UNIT PRODU"
287,Lakeridge Health Corporation,HAEMATOLOGY - BOWMANVILLE,LABORATORY TECHNOLOGIST
288,Lakeridge Health Corporation,HAEMATOLOGY - OSHAWA,CHARGE LABORATORY TECHNOLOGIST
289,Lakeridge Health Corporation,HAEMATOLOGY - OSHAWA,LABORATORY TECHNOLOGIST
290,Lakeridge Health Corporation,HAEMATOLOGY - PORT PERRY,LABORATORY TECHNOLOGIST
291,Lakeridge Health Corporation,HISTOPATHOLOGY,LABORATORY ASSISTANT
292,Lakeridge Health Corporation,HISTOPATHOLOGY,LABORATORY TECHNOLOGIST
293,Lakeridge Health Corporation,HISTOPATHOLOGY,"MEDICAL TRANSCRIPTIONIST, NON UNIT PRODU"
294,Lakeridge Health Corporation,HISTOPATHOLOGY,PATHOLOGY ASSISTANT
295,Lakeridge Health Corporation,HISTOPATHOLOGY,SENIOR CLERK TYPIST
296,Lakeridge Health Corporation,HISTOPATHOLOGY,SENIOR LABORATORY TECHNOLOGIST
297,Lakeridge Health Corporation,IMMUNOHAEMATOLOGY - BOWMANVILLE,LABORATORY TECHNOLOGIST
298,Lakeridge Health Corporation,IMMUNOHAEMATOLOGY - OSHAWA,CHARGE LABORATORY TECHNOLOGIST
